一	〔一一｜yiaa〕
邗	〔干阝｜hjge〕
戋	〔一丶｜jmad〕
打	〔扌丁｜dafd〕
巧	〔工フ｜qngv〕
正	〔一止｜vgav〕
扑	〔扌卜｜pufb〕
卉	〔十廾｜hvuc〕
扒	〔扌八｜bafb・pafb〕
邛	〔工阝｜qsge〕
功	〔工力｜gsgl〕
扔	〔扌乃｜rgfn〕
去	〔土厶｜quts〕
甘	〔廿niàn一｜gjna〕
世	〔一フ｜uiav〕
艾	〔艹乂｜aicx・yicx〕
艽	〔艹九｜jncj・qqcj〕
古	〔十口｜guuk〕
节	〔艹卩｜jpce〕
艿	〔艹乃｜ndcn〕
本	〔一一｜bfaa〕
术	〔木丶｜uumd・vumd〕
札	〔木フ｜vamv〕
可	〔丁口｜kedk〕
叵	〔匚口｜pokk〕
匝	〔匚巾｜zakj〕
丙	〔一内｜bkan〕
左	〔工｜zoug〕
厉	〔厂万｜liiw〕
丕	〔不一｜piba〕
石	〔一口｜djak・uiak〕
右	〔口｜yzuk〕
布	〔巾｜buuj〕
夯	〔大力｜hhdl〕
龙	〔丶｜lsud〕
戊	〔戈ノ｜wuad・wugp〕
平	〔一十｜pkau〕
灭	〔一火｜mpah〕
轧	〔车フ｜gaiv・yaiv・vaiv〕
东	〔一丶｜dsad〕
匜	〔匚也｜yiky〕
劢	〔万力｜mdwl〕
卡	〔上卜｜kaub・qxub〕
北	〔丨匕｜bwlb〕
占	〔丨口｜vjlk〕
凸	〔丨一｜tula〕
卢	〔丨尸｜lulu〕
业	〔丨一｜yela〕
旧	〔丨日｜jqlo〕
帅	〔丨巾｜uklj〕
归	〔丨彐｜gvle〕
目	〔囗一｜muka〕
旦	〔日一｜djoa〕
且	〔丨一｜jula・qpla〕
叮	〔口丁｜dkkd〕
叶	〔口十｜xpku・yeku〕
甲	〔丨丨｜jxll〕
申	〔丨丨｜ufll〕
号	〔口フ｜hckv〕
电	〔丨フ｜dmlv〕
田	〔囗十｜tmku〕
由	〔丨一｜yzla〕
卟	〔口卜｜bukb〕
叭	〔口八｜bakb〕
只	〔口八｜vikb〕
央	〔丨夬guài｜yhlg〕
史	〔丨ㄟ｜uiln〕
叱	〔口匕｜iikb〕
叽	〔口几｜jikj〕
兄	〔口儿｜xske〕
叼	〔口刁｜dnkd〕
叩	〔口卩｜kzke〕
叫	〔口丨｜jnkl〕
叻	〔口力｜lekl〕
叨	〔口刀｜dckd・tckd〕
另	〔口力｜lkkl〕
叹	〔口又｜tjky〕
冉	〔丨一｜rjla〕
皿	〔丨一｜mbla〕
凹	〔丨一｜aola・wala〕
囚	〔囗人｜qqkr〕
四	〔囗儿｜sike〕
生	〔ノ｜ugpf〕
失	〔ノ夫｜uipf〕
矢	〔ノ天｜uipt〕
氕	〔气ノ｜ppqp〕
乍	〔ノ一｜vapa〕
禾	〔ノ木｜hepm・heqn〕
仨	〔亻三｜sars〕
仕	〔亻士｜uiru〕
丘	〔ノ一｜qqpa〕
付	〔亻寸｜furc〕
仗	〔亻丈｜vhrv〕
代	〔亻弋｜ddry〕
仙	〔亻山｜xmre〕
仟	〔亻千｜qmrq〕
仡	〔亻乞｜gerq・yirq〕
仫	〔亻么｜murm〕
伋	〔亻及｜jirj〕
们	〔亻门｜mfrm〕
仪	〔亻义｜yiry〕
白	〔ノ日｜bdpo〕
仔	〔亻子｜zdrz・zirz〕
他	〔亻也｜tary〕
仞	〔亻刃｜rfrr〕
斥	〔ノ丶｜iipd〕
卮	〔ノフ｜vipv〕
瓜	〔ノㄟ｜gxpn〕
乎	〔ノ丨｜hupl〕
丛	〔人一｜csra〕
令	〔人｜lkrs〕
用	〔冂丨｜yskl〕
甩	〔冂フ｜ukkv〕
印	〔ノ卩｜ybpe〕
氐	〔氏丶｜diud〕
乐	〔ノ丶｜lepd・ycpd・ytpd・lcpd〕
尔	〔小｜erdx〕
句	〔勹口｜jubk・gzbk〕
匆	〔勹丶｜csbd〕
犰	〔犭九｜qqqj〕
册	〔ノ一｜cepa〕
卯	〔ノ卩｜mcpe〕
犯	〔犭フ｜fjqv〕
外	〔夕卜｜wdxb〕
处	〔夂卜｜iuwb〕
冬	〔夂丶｜dswd〕
鸟	〔乌丶｜dnwd・nnwd〕
务	〔夂力｜wuwl〕
刍	〔彐｜iude〕
包	〔勹巳sì｜bcbs〕
饥	〔饣几｜jiuj〕
主	〔丶王｜vudw〕
市	〔亠巾｜uiwj〕
邝	〔广阝｜klge〕
立	〔亠一｜liwa〕
冯	〔冫马｜pkdm・fgdm〕
邙	〔亡阝｜mhwe〕
玄	〔亠幺｜xrwy〕
闪	〔门人｜ujmr〕
兰	〔丷三｜ljbs〕
半	〔丶丨｜bjdl〕
汀	〔氵丁｜tkdd〕
汁	〔氵十｜vidu〕
汇	〔氵匚｜hvdk〕
头	〔丶大｜tzdd〕
汈	〔氵刁｜dndd〕
汉	〔氵又｜hjdy〕
忉	〔忄刀｜dcxd〕
宁	〔宀丁｜nkbd〕
穴	〔宀八｜xtbb〕
宄	〔宀九｜gvbj〕
它	〔宀匕｜tabb〕
讦	〔讠干｜jpyg〕
讧	〔讠工｜hsyg〕
讨	〔讠寸｜tcyc〕
写	〔冖与｜xpby〕
让	〔讠上｜rhyu〕
礼	〔礻フ｜lipv〕
讪	〔讠山｜ujye〕
讫	〔讠乞｜qiyq〕
训	〔讠川｜xyyi〕
必	〔丶丶｜bidd〕
议	〔讠义｜yiyy〕
讯	〔讠十｜xyyu〕
记	〔讠己｜jiyj〕
永	〔丶ㄟ｜ysdn〕
司	〔フ口｜sivk〕
尻	〔尸九｜kcuj〕
尼	〔尸匕｜niub〕
民	〔フフ｜mbvv〕
弗	〔フ丨｜fuvl〕
弘	〔弓厶｜hsgs〕
出	〔フ凵｜iuvk〕
阡	〔阝千｜qmeq〕
辽	〔辶了｜lnzl〕
奶	〔女乃｜ndnn〕
奴	〔女又｜nuny〕
尕	〔乃小｜ganx〕
加	〔力口｜jxlk〕
召	〔刀口｜ucdk・vcdk〕
皮	〔フ又｜pivy〕
边	〔辶力｜bmzl〕
孕	〔乃子｜yynz〕
发	〔フ丶｜favd〕
圣	〔又土｜ugyt〕
对	〔又寸｜dvyc〕
弁	〔厶廾｜bmsc〕
台	〔厶口｜tdsk〕
矛	〔ノ｜mcsp〕
纠	〔纟丨｜jqsl〕
驭	〔马又｜yumy〕
母	〔フ丶｜muvd〕
幼	〔幺力｜yzyl〕
丝	〔フ一｜siva〕
匡	〔匚王｜klkw〕
耒	〔丰ㄟ｜lwfn〕
邦	〔寿上阝｜bhfe〕
玎	〔王丁｜dkwd〕
玑	〔王几｜jiwj〕
式	〔弋工｜uiyg〕
迂	〔辶于｜yuzy〕
刑	〔开刂｜xkkd〕
邢	〔开阝｜xkke〕
戎	〔戈｜rsgu〕
动	〔二力｜dsel〕
圩	〔土于｜wwty・xuty〕
圬	〔土亏｜wutk〕
圭	〔土土｜gvtt〕
扛	〔扌工｜ghfg・khfg〕
寺	〔土寸｜sitc〕
吉	〔士口｜jiuk〕
扣	〔扌口｜kzfk〕
扦	〔扌千｜qmfq〕
圪	〔土乞｜getq〕
考	〔耂フ｜kclv〕
托	〔扌七｜tofq〕
圳	〔土川｜vfti〕
老	〔耂匕｜lclb〕
圾	〔土及｜jitj〕
巩	〔工凡｜gsgf〕
执	〔扌丸｜vifw〕
扩	〔扌广｜kofg〕
圹	〔土广｜kltg〕
扪	〔扌门｜mffm〕
扫	〔扌彐｜scfe〕
圯	〔土巳sì｜yits〕
圮	〔土己｜pitj〕
地	〔土也｜dety・dity〕
扬	〔扌ノ｜yhfp〕
场	〔土ノ｜ihtp〕
耳	〔一一｜eraa〕
芋	〔艹于｜yucy〕
芏	〔艹土｜duct〕
共	〔艹八｜gscb〕
芊	〔艹千｜qmcq〕
芍	〔艹勺｜uccu〕
芨	〔艹及｜jicj〕
芄	〔艹丸｜wjcw〕
芒	〔艹亡｜mhcw〕
亚	〔一业｜yaay〕
芝	〔艹之｜vicv〕
芎	〔艹弓｜xscg〕
芑	〔艹己｜qicj〕
芗	〔艹乡｜xlcx〕
朽	〔木フ｜xqmv〕
朴	〔木卜｜pnmb・pomb・pumb〕
机	〔木几｜jimj〕
权	〔木又｜qrmy〕
过	〔辶寸｜gozc〕
亘	〔一一｜gfaa〕
臣	〔匚丨｜ifkl〕
吏	〔一ㄟ｜lian〕
再	〔一冉｜zdar〕
协	〔十办｜xpub〕
西	〔一一｜xiaa〕
压	〔厂丶｜yaid〕
厌	〔厂犬｜yjiq〕
厍	〔厂车｜ueii〕
戌	〔戊wù一｜xuwa〕
在	〔土｜zdut〕
百	〔一白｜bdab〕
有	〔月｜yzuo〕
存	〔子｜cyuz〕
而	〔一丨｜eral〕
页	〔一人｜year〕
匠	〔匚斤｜jlkj〕
夸	〔大亏｜kxdk〕
夺	〔大寸｜dodc〕
夼	〔大川｜kldi〕
灰	〔火｜hvuh〕
达	〔辶大｜dazd〕
戍	〔戊wù丶｜uuwd〕
尥	〔尢勺｜lnyu〕
列	〔歹刂｜lpdd〕
死	〔歹匕｜sidb〕
成	〔戊wùフ｜igwv〕
夹	〔一ㄟ｜gaan・jxan〕
夷	〔一ㄟ｜yian〕
轨	〔车九｜gvij〕
邪	〔牙阝｜xpye・yeye〕
尧	〔一兀｜ycaw〕
划	〔戈刂｜hxgd〕
迈	〔辶万｜mdzw〕
毕	〔比左十｜bibu〕
至	〔一土｜viat〕
此	〔止匕｜civb〕
乩	〔丨フ｜jilv〕
贞	〔丨人｜vflr〕
师	〔丨巾｜uilj〕
尘	〔小土｜ifxt〕
尖	〔小大｜jmxd〕
劣	〔少力｜lpul〕
光	〔兀｜glxw〕
当	〔彐｜dhxe〕
吁	〔口于｜xuky・yuky〕
早	〔日十｜zcou〕
吐	〔口土｜tukt〕
吓	〔口下｜hekx・xxkx〕
旯	〔日九｜laoj〕
曳	〔丨ノ｜yelp〕
虫	〔中丶｜isvd〕
曲	〔丨一｜qula〕
团	〔囗才｜trkc〕
同	〔冂口｜tskk〕
吕	〔口口｜lvkk〕
吊	〔口巾｜dnkj〕
吃	〔口乞｜iikq〕
因	〔囗大｜ybkd〕
吸	〔口及｜xikj〕
吗	〔口马｜makm〕
吆	〔口幺｜ycky〕
屿	〔山与｜yuey〕
屹	〔山乞｜yieq〕
岌	〔山及｜jiej〕
帆	〔巾凡｜fjjf〕
岁	〔山夕｜svex〕
回	〔囗口｜hvkk〕
岂	〔山己｜qiej〕
屺	〔山己｜qiej〕
则	〔冂刂｜zekd〕
刚	〔冂刂｜ghkd〕
网	〔冂乂｜whkx〕
肉	〔内人｜rznr〕
凼	〔水凵｜dhuk〕
囝	〔囗子｜njkz・jmkz〕
囡	〔囗女｜njkn〕
钆	〔钅フ｜gajv〕
钇	〔钅フ｜yijv〕
年	〔ノ丨｜nmpl〕
朱	〔ノ未｜vupw〕
缶	〔午凵｜fzwk〕
氘	〔气丨｜dcql〕
氖	〔气乃｜ndqn〕
牝	〔牛匕｜pbnb〕
先	〔儿｜xmne〕
丢	〔ノ厶｜dqps〕
廷	〔廴壬｜tkzr〕
舌	〔千口｜ueqk〕
竹	〔ノ丨｜vupl〕
迁	〔辶千｜qmzq〕
乔	〔夭丨｜qnyl〕
迄	〔辶乞｜qizq〕
伟	〔亻韦｜wwrw〕
传	〔亻专｜vrrv・irrv〕
乒	〔丘ノ｜pkqp〕
乓	〔丘丶｜phqd〕
休	〔亻木｜xqrm〕
伍	〔亻五｜wurw〕
伎	〔亻又｜jiry・qiry〕
伏	〔亻犬｜furq〕
伛	〔亻乂｜yurx〕
优	〔亻尤｜yzry〕
臼	〔ノ一｜jqpa〕
伢	〔亻牙｜yary〕
伐	〔亻戈｜farg〕
仳	〔亻匕｜pirb〕
延	〔廴フ｜yjzv〕
佤	〔亻瓦｜warw〕
仲	〔亻中｜vsrv〕
仵	〔亻午｜wurw〕
件	〔亻牛｜jmrn〕
任	〔亻壬｜rfrr〕
伤	〔亻力｜uhrl〕
伥	〔亻长｜ihri〕
价	〔亻丨｜jxrl・jprl〕
伦	〔亻匕｜lyrb〕
份	〔亻刀｜ffrd〕
伧	〔亻フ｜chrv・ifrv〕
华	〔亻十｜hxru〕
仰	〔亻卩｜yhre〕
伉	〔亻几｜khrj〕
仿	〔亻方｜fhrf〕
伙	〔亻火｜horh〕
伪	〔亻为｜wwrw〕
伫	〔亻一｜vura〕
自	〔ノ目｜zipo〕
伊	〔亻尹｜yiry〕
血	〔ノ皿｜xppm・xtpm〕
向	〔ノ口｜xlpk〕
囟	〔ノ乂｜xbpx〕
似	〔亻人｜sirr・uirr〕
后	〔ノ口｜hzpk〕
行	〔彳chì亍chù｜hgii・xkii・hhii〕
甪	〔ノ用｜lupy〕
舟	〔ノ丶｜vzpd〕
全	〔人王｜qrrw〕
会	〔人厶｜hvrs・kkrs〕
杀	〔乂朩｜uaxm〕
合	〔人口｜gerk・herk〕
兆	〔儿丶｜vced〕
企	〔人止｜qirv〕
汆	〔入水｜crru〕
众	〔人人｜vsrr〕
爷	〔八卩｜yebe〕
伞	〔人十｜sjru〕
创	〔人刂｜ilrd〕
刖	〔月刂｜ytod〕
肌	〔月几｜jioj〕
肋	〔月力｜leol・lwol〕
朵	〔几木｜dojm〕
杂	〔九朩｜zajm〕
夙	〔几歹｜sujd〕
危	〔フ｜wwdv〕
旬	〔勹日｜xybo〕
旭	〔九日｜xujo〕
旮	〔九日｜gajo〕
旨	〔匕日｜vibo〕
负	〔人｜fudr〕
犴	〔犭干｜anqg・hjqg〕
刎	〔勿刂｜wfwd〕
犷	〔犭广｜glqg〕
匈	〔勹凵｜xsbk〕
犸	〔犭马｜maqm〕
舛	〔夕丨｜irxl〕
各	〔夂口｜gewk〕
名	〔夕口｜mkxk〕
多	〔夕夕｜doxx〕
凫	〔ノ几｜fupj〕
争	〔丨｜vgdl〕
邬	〔乌阝｜wuwe〕
色	〔巴｜sedb・uddb〕
饧	〔饣ノ｜xkup〕
冱	〔冫互｜hudh〕
壮	〔冫士｜vldu〕
冲	〔冫中｜isdv〕
妆	〔冫女｜vldn〕
冰	〔冫水｜bkdu〕
庄	〔广土｜vlgt〕
庆	〔广大｜qkgd〕
亦	〔亠丶｜yiwd〕
刘	〔文刂｜lqwd〕
齐	〔文丨｜qiwl〕
交	〔亠乂｜jnwx〕
次	〔冫人｜cidr〕
衣	〔亠𧘇｜yiwy〕
产	〔立ノ｜ijlp〕
决	〔冫夬guài｜jtdg〕
亥	〔亠人｜hdwr〕
邡	〔方阝｜fhfe〕
充	〔亠儿｜iswe〕
妄	〔亡女｜whwn〕
闭	〔门才｜bimc〕
问	〔门口｜wfmk〕
闯	〔门马｜ilmm〕
羊	〔丷丨｜yhbl〕
并	〔丷开｜bkbk〕
关	〔丷天｜grbt〕
米	〔丶木｜midm〕
灯	〔火丁｜dghd〕
州	〔丶丨｜vzdl〕
汗	〔氵干｜hjdg〕
污	〔氵亏｜wudk〕
江	〔氵工｜jldg〕
汕	〔氵山｜ujde〕
汔	〔氵乞｜qidq〕
汲	〔氵及｜jidj〕
汐	〔氵夕｜xidx〕
汛	〔氵十｜xydu〕
汜	〔氵巳sì｜sids〕
池	〔氵也｜iidy〕
汝	〔氵女｜rudn〕
汤	〔氵ノ｜thdp・uhdp〕
汊	〔氵叉｜iadi〕
忖	〔忄寸｜cyxc〕
忏	〔忄千｜ijxq〕
忙	〔忄亡｜mhxw〕
兴	〔⺍八｜xkxb〕
宇	〔宀于｜yuby〕
守	〔宀寸｜uzbc〕
宅	〔宀七｜vdbq〕
字	〔宀子｜zibz〕
安	〔宀女｜anbn〕
讲	〔讠井｜jlyj〕
讳	〔讠韦｜hvyw〕
讴	〔讠乂｜ouyx〕
军	〔冖车｜jybi〕
讵	〔讠巨｜juyj〕
讶	〔讠牙｜yayy〕
祁	〔礻阝｜qipe〕
讷	〔讠内｜neyn〕
许	〔讠午｜xuyw〕
讹	〔讠匕｜eeyb〕
论	〔讠匕｜lyyb〕
讼	〔讠厶｜ssys〕
农	〔丶ㄟ｜nsdn〕
讽	〔讠乂｜fgyx〕
设	〔讠又｜ueyy〕
访	〔讠方｜fhyf〕
诀	〔讠夬guài｜jtyg〕
聿	〔フ丨｜yuvl〕
寻	〔彐寸｜xyec〕
那	〔フ阝｜nwve・nave〕
艮	〔彐ㄟ｜gfen〕
厾	〔フ厶｜duvs〕
迅	〔辶十｜xyzu〕
尽	〔尺丶｜jbid〕
导	〔巳sì寸｜dcsc〕
异	〔巳sì廾｜yisc〕
弛	〔弓也｜iigy〕
阱	〔阝井｜jkej〕
阮	〔阝儿｜rree〕
孙	〔子小｜syzx〕
阵	〔阝车｜vfei〕
阳	〔阝日｜yheo〕
收	〔フ攵｜uzvw〕
阪	〔阝又｜bjey〕
阶	〔阝丨｜jpel〕
阴	〔阝月｜ybeo〕
防	〔阝方｜fhef〕
丞	〔了一｜igla〕
奸	〔女干｜jmng〕
如	〔女口｜runk〕
妁	〔女勺｜uonu〕
妇	〔女彐｜fune〕
妃	〔女己｜fwnj〕
好	〔女子｜hcnz〕
她	〔女也｜tany〕
妈	〔女马｜manm〕
戏	〔又戈｜xiyg〕
羽	〔习习｜yuxx〕
观	〔又见下｜grye〕
牟	〔厶牛｜musn・mzsn〕
欢	〔又人｜hryr〕
买	〔フ大｜mdvd〕
纡	〔纟于｜yusy〕
红	〔纟工｜hssg〕
纣	〔纟寸｜vzsc〕
驮	〔马大｜tomd・domd〕
纤	〔纟千｜qmsq・xmsq〕
纥	〔纟乞｜gesq・hesq〕
驯	〔马川｜xymi〕
纨	〔纟丸｜wjsw〕
约	〔纟勺｜ycsu・ytsu〕
级	〔纟及｜jisj〕
纩	〔纟广｜klsg〕
纪	〔纟己｜jisj〕
驰	〔马也｜iimy〕
纫	〔纟刃｜rfsr〕
巡	〔辶フ｜xyzv〕
佘	〔人小｜uerx〕
寿	〔寿上寸｜uzfc〕
玕	〔王干｜gjwg〕
弄	〔王廾｜lswc・nswc〕
玙	〔王与｜yuwy〕
麦	〔夂｜mdfw〕
玖	〔王久｜jqwj〕
玚	〔王ノ｜yhwp〕
玛	〔王马｜mawm〕
形	〔开ノ｜xkkp〕
进	〔辶井｜jbzj〕
戒	〔戈廾｜jpgc〕
吞	〔天口｜tytk〕
远	〔辶儿｜yrze〕
违	〔辶韦｜wwzw〕
韧	〔韦刃｜rfwr〕
运	〔辶厶｜yyzs〕
扶	〔扌夫｜fuff〕
抚	〔扌无｜fufw〕
坛	〔土厶｜tjts〕
抟	〔扌专｜trfv〕
技	〔扌又｜jify〕
坏	〔土不｜hktb〕
抔	〔扌不｜pzfb〕
抠	〔扌乂｜kzfx〕
坜	〔土力｜litl〕
扰	〔扌尤｜rcfy〕
扼	〔扌フ｜eefv〕
拒	〔扌巨｜jufj〕
找	〔扌戈｜vcfg〕
批	〔扌匕｜pifb〕
扯	〔扌止｜iefv〕
址	〔土止｜vitv〕
走	〔土人｜zztr〕
抄	〔扌少｜icfu〕
汞	〔工水｜gsgu〕
坝	〔土人｜batr〕
贡	〔工人｜gsgr〕
攻	〔工攵｜gsgw〕
赤	〔土丶｜iitd〕
圻	〔土斤｜qitj・ybtj〕
折	〔扌斤｜uefj・vefj〕
抓	〔扌爪｜vxfv〕
扳	〔扌又｜bjfy〕
坂	〔土又｜bjty〕
抡	〔扌匕｜lyfb〕
扮	〔扌刀｜bjfd〕
抢	〔扌フ｜igfv・qlfv〕
扺	〔扌氏｜vifu〕
孝	〔耂子｜xnlz〕
坎	〔土人｜kjtr〕
坍	〔土丹｜tjtd〕
均	〔土冫｜jytd〕
坞	〔土乌｜wutw〕
抑	〔扌卩｜yife〕
抛	〔扌力｜pcfl〕
投	〔扌又｜tzfy〕
抃	〔扌卞biàn｜bmfb〕
坟	〔土文｜fftw〕
坑	〔土几｜kgtj〕
抗	〔扌几｜khfj〕
坊	〔土方｜fhtf〕
抖	〔扌十｜dzfu〕
护	〔扌户｜hufh〕
壳	〔士几｜keuj・qnuj〕
志	〔士心｜viux〕
块	〔土夬guài｜kktg〕
抉	〔扌夬guài｜jtfg〕
扭	〔扌丑｜nqfi〕
声	〔士ノ｜ugup〕
把	〔扌巴｜bafb〕
报	〔扌又｜bcfy〕
拟	〔扌人｜nifr〕
抒	〔扌丨｜uufl〕
却	〔土卩｜qtte〕
劫	〔土力｜jptl〕
毐	〔士毋｜aiuw〕
芙	〔艹夫｜fucf〕
